1384310896528	Wed Nov 13 11:48:16 JST 2013	COMMAND_RECORD	DELETE	src/src/coco/CCConverterStart.java	org.eclipse.ui.edit.delete
1384310896684	Wed Nov 13 11:48:16 JST 2013	TEXTEDIT_RECORD	ECLIPSE	src/src/coco/CCConverterStart.java	0	2	
1384310896689	Wed Nov 13 11:48:16 JST 2013	COMMAND_RECORD	DELETE	src/src/coco/CCConverterStart.java	org.eclipse.ui.edit.delete
1384310897020	Wed Nov 13 11:48:17 JST 2013	TEXTEDIT_RECORD	ECLIPSE	src/src/coco/CCConverterStart.java	0	2	
1384310897047	Wed Nov 13 11:48:17 JST 2013	COMMAND_RECORD	DELETE	src/src/coco/CCConverterStart.java	org.eclipse.ui.edit.delete
1384310897356	Wed Nov 13 11:48:17 JST 2013	COMMAND_RECORD	FOCUS_LOST	src/src/coco/CCConverterStart.java
1384310898225	Wed Nov 13 11:48:18 JST 2013	TEXTEDIT_RECORD	ECLIPSE	src/src/coco/CCConverterStart.java	31	189	
1384310898226	Wed Nov 13 11:48:18 JST 2013	TEXTEDIT_RECORD	ECLIPSE	src/src/coco/CCConverterStart.java	31	0	import src.coco.model.CCCompileErrorManager;\r\n
1384310898226	Wed Nov 13 11:48:18 JST 2013	TEXTEDIT_RECORD	ECLIPSE	src/src/coco/CCConverterStart.java	31	0	import src.coco.controller.CCCompileErrorKindLoader;\r\n
1384310898227	Wed Nov 13 11:48:18 JST 2013	TEXTEDIT_RECORD	ECLIPSE	src/src/coco/CCConverterStart.java	31	0	import src.coco.controller.CCCompileErrorConverter;\r\n
1384310898227	Wed Nov 13 11:48:18 JST 2013	TEXTEDIT_RECORD	ECLIPSE	src/src/coco/CCConverterStart.java	31	0	import src.coco.controller.CCAddCompileErrorKinds;\r\n
1384310898318	Wed Nov 13 11:48:18 JST 2013	COMMAND_RECORD	SAVE	src/src/coco/CCConverterStart.java
1384310898319	Wed Nov 13 11:48:18 JST 2013	COMMAND_RECORD	COMPILE	src/src/coco/CCConverterStart.java
1384310898326	Wed Nov 13 11:48:18 JST 2013	COMMAND_RECORD	FOCUS_GAINED	src/src/coco/CCConverterStart.java
1384310898689	Wed Nov 13 11:48:18 JST 2013	COMMAND_RECORD	FOCUS_LOST	src/src/coco/CCConverterStart.java
1384310899453	Wed Nov 13 11:48:19 JST 2013	COMMAND_RECORD	FILE_CREATED	.pres2/src/src/coco/CCConverterStart.java/1384310898313.java
1384310899454	Wed Nov 13 11:48:19 JST 2013	COMMAND_RECORD	SAVE	.pres2/src/src/coco/CCConverterStart.java/1384310898313.java
1384310899507	Wed Nov 13 11:48:19 JST 2013	LOG	DEBUG	RecordingFile Not Found.: .pres2/src/src/coco/CCConverterStart.java/1384310898313.java
1384310899454	Wed Nov 13 11:48:19 JST 2013	COMMAND_RECORD	COMPILE	.pres2/src/src/coco/CCConverterStart.java/1384310898313.java
